run_id,question_id,mode,category,question,session_id,http_status,request_success,validated_success,validation_status,assertion_type,assertion_detail,failure_type,error_detail,client_request_latency_ms,server_handler_latency_ms,app_startup_latency_ms,sql_execution_latency_ms,final_llm_response,response_text,sql_query,query_results,sql_execution_success,sql_execution_error,model_name,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
20260403_152951,q011,mcp,unemployment,List the top 10 states by unemployment rate in 2023.,100011,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,12277.904,12258.558,2015.717,,"Top 10 (by 2023 unemployment rate):

1. Nevada — 5.2%
2. District of Columbia — 4.8%
3. California — 4.7%
4. Illinois — 4.5%
5. Kentucky — 4.3%
6. New Jersey — 4.3%
7. Alaska — 4.2%
8. Washington — 4.2%
9. New York — 4.1%
10. Texas — 4.0%

(Source: unemployment_rates_by_state table — values are Rate_2023.)","Top 10 (by 2023 unemployment rate):

1. Nevada — 5.2%
2. District of Columbia — 4.8%
3. California — 4.7%
4. Illinois — 4.5%
5. Kentucky — 4.3%
6. New Jersey — 4.3%
7. Alaska — 4.2%
8. Washington — 4.2%
9. New York — 4.1%
10. Texas — 4.0%

(Source: unemployment_rates_by_state table — values are Rate_2023.)",,,,,gpt-5-mini,15868,557,16425,
20260403_152951,q012,mcp,unemployment,Compare the unemployment rate in California and the United States in 2023.,100012,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,7743.543,7725.991,2015.717,,"State,Rate_2022,Rate_2023,Rate_Change,State_Rank
California,4.3,4.7,0.4,49
United States,3.6,3.6,0.0,None

Comparison summary:
- In 2023 California's unemployment rate was 4.7% vs. the U.S. rate of 3.6%.
- California's rate increased by 0.4 percentage points from 2022 to 2023; the U.S. rate was unchanged.
- California ranked 49th by 2023 rate (near the higher end among states).","State,Rate_2022,Rate_2023,Rate_Change,State_Rank
California,4.3,4.7,0.4,49
United States,3.6,3.6,0.0,None

Comparison summary:
- In 2023 California's unemployment rate was 4.7% vs. the U.S. rate of 3.6%.
- California's rate increased by 0.4 percentage points from 2022 to 2023; the U.S. rate was unchanged.
- California ranked 49th by 2023 rate (near the higher end among states).",,,,,gpt-5-mini,15722,166,15888,
20260403_152951,q013,mcp,ngo,Find NGOs in California in the Health Care category.,100013,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,16179.748,16153.673,2015.717,,"Ein,Name,City,State,County,Ntee_Code,Category
274453105,2Nd Chance Kids,Colton,CA,San Bernardino County,E99,Health Care
272791990,40 Million And Counting,Rolling Hills Estates,CA,Los Angeles County,E01,Health Care
330551434,A & M Health Services Corporation,El Monte,CA,Los Angeles County,E21,Health Care
320101760,A A Care Center,Santa Ana,CA,Orange County,E70,Health Care
330818147,A C N M Inland Desert Chapter,Apple Valley,CA,San Bernardino County,E60,Health Care","Ein,Name,City,State,County,Ntee_Code,Category
274453105,2Nd Chance Kids,Colton,CA,San Bernardino County,E99,Health Care
272791990,40 Million And Counting,Rolling Hills Estates,CA,Los Angeles County,E01,Health Care
330551434,A & M Health Services Corporation,El Monte,CA,Los Angeles County,E21,Health Care
320101760,A A Care Center,Santa Ana,CA,Orange County,E70,Health Care
330818147,A C N M Inland Desert Chapter,Apple Valley,CA,San Bernardino County,E60,Health Care",,,,,gpt-5-mini,15805,506,16311,
20260403_152951,q014,mcp,ngo,List 10 NGOs in King County.,100014,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,13338.517,13324.483,2015.717,,"Ein,Name,City,State,County,Ntee_Code,Category
271030377,1 Green Planet,Renton,WA,King County,C27,Environment
203154031,10-99 Foundation,Issaquah,WA,King County,M12,Public Safety, Disaster Preparedness & Relief
274318786,12 Baskets,Federal Way,WA,King County,Q33,International, Foreign Affairs and National Security
272154518,15Th Street Ballard Guild,Seattle,WA,King County,A20,Arts, Culture and Humanities
208536154,1In2,Issaquah,WA,King County,H11,Medical Research
237108188,200 Plus 1 Club,Mercer Island,WA,King County,N50,Recreation & Sports
270807517,206 Universal,Seattle,WA,King County,B84,Education
300782059,21 Progress,Seattle,WA,King County,B60,Education
200886897,21St Century Mission Church,Sammamish,WA,King County,X20,Religion-Related
311672568,2Nd Chance Young Adult Organization,Seattle,WA,King County,I30,Crime & Legal-Related","Ein,Name,City,State,County,Ntee_Code,Category
271030377,1 Green Planet,Renton,WA,King County,C27,Environment
203154031,10-99 Foundation,Issaquah,WA,King County,M12,Public Safety, Disaster Preparedness & Relief
274318786,12 Baskets,Federal Way,WA,King County,Q33,International, Foreign Affairs and National Security
272154518,15Th Street Ballard Guild,Seattle,WA,King County,A20,Arts, Culture and Humanities
208536154,1In2,Issaquah,WA,King County,H11,Medical Research
237108188,200 Plus 1 Club,Mercer Island,WA,King County,N50,Recreation & Sports
270807517,206 Universal,Seattle,WA,King County,B84,Education
300782059,21 Progress,Seattle,WA,King County,B60,Education
200886897,21St Century Mission Church,Sammamish,WA,King County,X20,Religion-Related
311672568,2Nd Chance Young Adult Organization,Seattle,WA,King County,I30,Crime & Legal-Related",,,,,gpt-5-mini,15901,542,16443,
20260403_152951,q015,mcp,ngo,Summarize NGO counts by category in Texas.,100015,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,11621.986,11596.61,2015.717,,"Here are the NGO counts by category in Texas (ordered highest to lowest):

- Religion-Related: 7,153
- Education: 6,677
- Human Services: 3,734
- Youth Development: 3,360
- Recreation & Sports: 3,331
- Philanthropy, Voluntarism and Grantmaking Foundations: 3,255
- Mutual/Membership Benefit: 3,010
- Community Improvement, Capacity Building: 2,831
- Arts, Culture and Humanities: 2,701
- Public & Societal Benefit: 1,461
- Health Care: 1,074
- International, Foreign Affairs and National Security: 893
- Voluntary Health Associations & Medical Disciplines: 871
- Animal-Related: 843
- Crime & Legal-Related: 810
- Housing & Shelter: 721
- Unknown: 716
- Public Safety, Disaster Preparedness & Relief: 593
- Environment: 592
- Science and Technology: 591
- Employment: 524
- Mental Health & Crisis Intervention: 415
- Food, Agriculture and Nutrition: 389
- Civil Rights, Social Action, Advocacy: 280
- Medical Research: 151
- Social Science: 34

Would you like this as a CSV or a downloadable file, or filtered to a subset of categories?","Here are the NGO counts by category in Texas (ordered highest to lowest):

- Religion-Related: 7,153
- Education: 6,677
- Human Services: 3,734
- Youth Development: 3,360
- Recreation & Sports: 3,331
- Philanthropy, Voluntarism and Grantmaking Foundations: 3,255
- Mutual/Membership Benefit: 3,010
- Community Improvement, Capacity Building: 2,831
- Arts, Culture and Humanities: 2,701
- Public & Societal Benefit: 1,461
- Health Care: 1,074
- International, Foreign Affairs and National Security: 893
- Voluntary Health Associations & Medical Disciplines: 871
- Animal-Related: 843
- Crime & Legal-Related: 810
- Housing & Shelter: 721
- Unknown: 716
- Public Safety, Disaster Preparedness & Relief: 593
- Environment: 592
- Science and Technology: 591
- Employment: 524
- Mental Health & Crisis Intervention: 415
- Food, Agriculture and Nutrition: 389
- Civil Rights, Social Action, Advocacy: 280
- Medical Research: 151
- Social Science: 34

Would you like this as a CSV or a downloadable file, or filtered to a subset of categories?",,,,,gpt-5-mini,15870,463,16333,
20260403_152951,q016,mcp,ngo,Give me the NGO with EIN 141760872.,100016,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,5443.439,5415.147,2015.717,,"Ein,Name,Fulladdr,City,State,Zip,County,Ntee_Code,Category,Is_Category_Llm_Generated
141760872,222 Riverside Plaza Corp,ALBANY,NY,12211,Albany County,C99,Environment,None","Ein,Name,Fulladdr,City,State,Zip,County,Ntee_Code,Category,Is_Category_Llm_Generated
141760872,222 Riverside Plaza Corp,ALBANY,NY,12211,Albany County,C99,Environment,None",,,,,gpt-5-mini,15725,85,15810,
20260403_152951,q017,mcp,faa,Show 3 aircraft registered in Oklahoma from the FAA master registry.,100017,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,15898.591,15881.977,2015.717,,"n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3
N1000E,550-1011,2076604,52065,2002,Corporation,WR HESS CO,3636 S MERIDIAN AVE,None,OKLAHOMA CITY,OK,731192420,Southwestern,109,US,2023-07-18,2016-02-16,1T,Standard,Transport,Fixed wing multi engine,Turbo-fan,Valid Registration,50003421,None,2016-02-19,None,None,None,None,None,2029-02-28,1207444,None,None,A00711
N1000J,M-1000,1151208,17033,1966,Corporation,EAGLE MOUNTAIN AVIATION INC,16653 E 78TH ST N,None,OWASSO,OK,740555726,Southwestern,143,US,2024-05-14,2024-05-14,1N,Standard,Normal,Fixed wing single engine,Reciprocating,Valid Registration,50003425,None,1966-10-28,None,None,None,None,None,2031-05-31,340110,None,None,A00715","n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3
N1000E,550-1011,2076604,52065,2002,Corporation,WR HESS CO,3636 S MERIDIAN AVE,None,OKLAHOMA CITY,OK,731192420,Southwestern,109,US,2023-07-18,2016-02-16,1T,Standard,Transport,Fixed wing multi engine,Turbo-fan,Valid Registration,50003421,None,2016-02-19,None,None,None,None,None,2029-02-28,1207444,None,None,A00711
N1000J,M-1000,1151208,17033,1966,Corporation,EAGLE MOUNTAIN AVIATION INC,16653 E 78TH ST N,None,OWASSO,OK,740555726,Southwestern,143,US,2024-05-14,2024-05-14,1N,Standard,Normal,Fixed wing single engine,Reciprocating,Valid Registration,50003425,None,1966-10-28,None,None,None,None,None,2031-05-31,340110,None,None,A00715",,,,,gpt-5-mini,16148,776,16924,
20260403_152951,q018,mcp,faa,What is FAA aircraft reference acftref code 7100510?,100018,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,6321.749,6303.839,2015.717,,"code,mfr_code,model_code,series_code,mfr,model,type_acft,type_eng,ac_cat,build_cert_ind,no_eng,no_seats,ac_weight,speed,tc_data_sheet,tc_data_holder
7100510,710,5,10,PIPER,J3C-65,Fixed wing single engine,Reciprocating,Land,Type Certificated,1,2,Up to 12,499,67,None,None","code,mfr_code,model_code,series_code,mfr,model,type_acft,type_eng,ac_cat,build_cert_ind,no_eng,no_seats,ac_weight,speed,tc_data_sheet,tc_data_holder
7100510,710,5,10,PIPER,J3C-65,Fixed wing single engine,Reciprocating,Land,Type Certificated,1,2,Up to 12,499,67,None,None",,,,,gpt-5-mini,15773,137,15910,
20260403_152951,q019,mcp,faa,Find FAA dealer records for Texas.,100019,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,17126.856,17108.261,2015.717,,"certificate_number,ownership,certificate_date,expiration_date,expired,certificate_issue_count,dealer_name,street,street2,city,state,zip_code,other_names_count,other_names_1,other_names_2,other_names_3,other_names_4,other_names_5,other_names_6,other_names_7,other_names_8,other_names_9,other_names_10,other_names_11,other_names_12,other_names_13,other_names_14,other_names_15,other_names_16,other_names_17,other_names_18,other_names_19,other_names_20,other_names_21,other_names_22,other_names_23,other_names_24,other_names_25
00-0073,Corporation,2000-01-10,2001-01-09,1,0,JAMES H MCBURNEY JR I INC,6117 DEL NORTE LN,None,DALLAS,TX,752252804,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0333,Individual,2000-02-15,2001-02-14,1,0,MCFARLAND TIM,35 HALL RD,None,PORT LAVACA,TX,779795557,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0422,Corporation,2000-03-01,2001-02-28,1,0,CLUB AIR INC,411 E HIGHWAY 67,None,DUNCANVILLE,TX,751374156,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0494,Corporation,2000-03-08,2001-03-07,1,0,NEELY INVESTMENTS INC,PO BOX 1252,None,AUSTIN,TX,787671252,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0658,Individual,2000-03-30,2001-03-29,1,0,COBB WILLIAM B,PO BOX 70,None,RAINBOW,TX,760770070,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None","certificate_number,ownership,certificate_date,expiration_date,expired,certificate_issue_count,dealer_name,street,street2,city,state,zip_code,other_names_count,other_names_1,other_names_2,other_names_3,other_names_4,other_names_5,other_names_6,other_names_7,other_names_8,other_names_9,other_names_10,other_names_11,other_names_12,other_names_13,other_names_14,other_names_15,other_names_16,other_names_17,other_names_18,other_names_19,other_names_20,other_names_21,other_names_22,other_names_23,other_names_24,other_names_25
00-0073,Corporation,2000-01-10,2001-01-09,1,0,JAMES H MCBURNEY JR I INC,6117 DEL NORTE LN,None,DALLAS,TX,752252804,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0333,Individual,2000-02-15,2001-02-14,1,0,MCFARLAND TIM,35 HALL RD,None,PORT LAVACA,TX,779795557,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0422,Corporation,2000-03-01,2001-02-28,1,0,CLUB AIR INC,411 E HIGHWAY 67,None,DUNCANVILLE,TX,751374156,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0494,Corporation,2000-03-08,2001-03-07,1,0,NEELY INVESTMENTS INC,PO BOX 1252,None,AUSTIN,TX,787671252,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
00-0658,Individual,2000-03-30,2001-03-29,1,0,COBB WILLIAM B,PO BOX 70,None,RAINBOW,TX,760770070,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None",,,,,gpt-5-mini,16205,778,16983,
20260403_152951,q020,mcp,faa,Show FAA deregistration records for N10000.,100020,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,12002.855,11983.472,2015.717,,"id,n_number,serial_number,mfr_mdl_code,status_code,registrant_name,street_mail,street2_mail,city_mail,state_abbrev_mail,zip_code_mail,eng_mfr_mdl,year_mfr,certification,airworthiness_classification,approved_operations,region,county_mail,country_mail,air_worth_date,cancel_date,mode_s_code,owner_type,exp_country,last_act_date,cert_issue_date,street_physical,street2_physical,city_physical,state_abbrev_physical,zip_code_physical,county_physical,country_physical,other_names1,other_names2,other_names3,other_names4,other_names5,kit_mfr,kit_model,mode_s_code_hex
1,N10000,79-029,8930105,Second Triennial - no response,ILLIANA HELICOPTER SERVICES INC,BOX 244A RR 1,None,RIDGE FARM,IL,61870,41525,1979,31,Restricted,Agriculture and Pest Control,None,183,US,1979-04-25,2002-05-13,50003445,Corporation,None,1994-09-06,1984-10-02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,A00725","id,n_number,serial_number,mfr_mdl_code,status_code,registrant_name,street_mail,street2_mail,city_mail,state_abbrev_mail,zip_code_mail,eng_mfr_mdl,year_mfr,certification,airworthiness_classification,approved_operations,region,county_mail,country_mail,air_worth_date,cancel_date,mode_s_code,owner_type,exp_country,last_act_date,cert_issue_date,street_physical,street2_physical,city_physical,state_abbrev_physical,zip_code_physical,county_physical,country_physical,other_names1,other_names2,other_names3,other_names4,other_names5,kit_mfr,kit_model,mode_s_code_hex
1,N10000,79-029,8930105,Second Triennial - no response,ILLIANA HELICOPTER SERVICES INC,BOX 244A RR 1,None,RIDGE FARM,IL,61870,41525,1979,31,Restricted,Agriculture and Pest Control,None,183,US,1979-04-25,2002-05-13,50003445,Corporation,None,1994-09-06,1984-10-02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,A00725",,,,,gpt-5-mini,15944,450,16394,
20260403_152951,q021,mcp,sql,Count the number of rows in the us_shootings table.,100021,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,5961.281,5939.855,2015.717,,There are 5 rows in the us_shootings table.,There are 5 rows in the us_shootings table.,,,,,gpt-5-mini,15669,55,15724,
20260403_152951,q022,mcp,sql,"For each state, count the number of shooting incidents and return the top 10 states.",100022,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,10234.595,10202.672,2015.717,,"State,incident_count
mississippi,1
virginia,1
louisiana,1
new york,1
pennsylvania,1","State,incident_count
mississippi,1
virginia,1
louisiana,1
new york,1
pennsylvania,1",,,,,gpt-5-mini,15722,344,16066,
20260403_152951,q023,mcp,sql,What is the average unemployment rate in 2023 across all states?,100023,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,12683.633,12659.527,2015.717,,The average unemployment rate in 2023 is 3.3% (calculated across 52 rows in the unemployment_rates_by_state table). Would you like the full list of state rates or a breakdown?,The average unemployment rate in 2023 is 3.3% (calculated across 52 rows in the unemployment_rates_by_state table). Would you like the full list of state rates or a breakdown?,,,,,gpt-5-mini,15698,550,16248,
20260403_152951,q024,mcp,sql,List the top 10 NGO categories by number of organizations.,100024,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,7823.89,7808.093,2015.717,,"Category,ngo_count
Education,140708
Religion-Related,126747
Philanthropy, Voluntarism and Grantmaking Foundations,80880
Recreation & Sports,79717
Arts, Culture and Humanities,79054
Community Improvement, Capacity Building,78179
Human Services,70996
Mutual/Membership Benefit,69515
Youth Development,43642
Public & Societal Benefit,42373","Category,ngo_count
Education,140708
Religion-Related,126747
Philanthropy, Voluntarism and Grantmaking Foundations,80880
Recreation & Sports,79717
Arts, Culture and Humanities,79054
Community Improvement, Capacity Building,78179
Human Services,70996
Mutual/Membership Benefit,69515
Youth Development,43642
Public & Societal Benefit,42373",,,,,gpt-5-mini,15765,198,15963,
20260403_152951,q025,mcp,sql,How many FAA master records are there for Oklahoma?,100025,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,10750.288,10727.213,2015.717,,"There are 5,747 FAA master records for Oklahoma.","There are 5,747 FAA master records for Oklahoma.",,,,,gpt-5-mini,15673,316,15989,
20260403_152951,q026,mcp,sql,"For each state, count the number of NGOs and return the top 10 states.",100026,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,7357.672,7349.956,2015.717,,"State,ngo_count
NY,139046
PA,98627
OH,94040
CA,87919
NJ,57581
IN,51432
TX,47010
FL,38915
IL,35240
MI,21289","State,ngo_count
NY,139046
PA,98627
OH,94040
CA,87919
NJ,57581
IN,51432
TX,47010
FL,38915
IL,35240
MI,21289",,,,,gpt-5-mini,15741,228,15969,
